"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Design Pattern","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules"
"L35385","subpackage","org.junit.platform.console.subpackage","L33226","L103","0","0","0","0","0","0","0","0","0","0.612565","117","0","0","0","0.612565","117","0","0","74","248","0","13","0","0","0","9","0","0","0","0","74","248","0","13","13","0","9","0","0","9","0","0","0","0","0","0","0","0","0","0","30","5","10","0","5","1","0","0","9","0","0","0","0","0"
"L35570","discovery","org.junit.platform.engine.discovery","L35467","L103","0.232508","24","116","60","0","0","0","0","0.852713","0.406741","1605","110","19","0.852713","0.406741","1605","110","19","2341","4584","36","42","0","34","3","290","1","0","127","0","2341","4584","36","42","22","0","38","34","3","290","885","1","14","0","2","0","127","0","0","0","934","76","231","21","197","18","37","0","13","42","0","0","0","0"
"L36755","reporting","org.junit.platform.engine.reporting","L35467","L103","0","0","0","0","0","0","0","0","0.857143","0.50505","50","6","1","0.857143","0.50505","50","6","1","49","117","2","1","0","2","0","7","0","0","6","0","49","117","2","1","13","0","2","2","0","7","16","0","1","0","0","0","6","0","0","0","5","0","4","0","0","3","0","0","1","0","0","0","0","0"
"L36819","support","org.junit.platform.engine.support","L35467","L103","0.137401","36","134","74","0.0697972","0.105664","709","597","0","0","0","0","0","0.676157","0.337321","2876","190","91","0","0","0","0","0","0","0","0","0","5","0","0","5650","10158","178","129","38","4","80","111","18","701","1917","17","31","3","17","5","281","6","0","5","1921","190","339","25","239","127","101","0","29","38","0","0","0","0"
"L40761","core","org.junit.platform.launcher.core","L40727","L103","0.0482704","7","17","16","0","0","0","0","0.777778","0.23066","1139","49","14","0.777778","0.23066","1139","49","14","3799","5806","114","82","2","59","4","428","9","0","185","1","3799","5806","114","82","29","2","41","59","4","428","1348","9","12","1","1","0","185","1","0","8","1267","62","177","13","108","67","24","0","9","39","0","0","0","0"
"L43079","listeners","org.junit.platform.launcher.listeners","L40727","L103","0.0389087","4","16","8","0","0","0","0","0.634615","0.28125","450","33","19","0.616667","0.28584","648","37","23","1150","1898","54","23","0","55","2","137","4","2","72","0","1619","2637","61","36","25","1","24","55","2","181","489","6","10","0","2","2","99","0","0","0","532","36","53","4","34","23","18","0","8","6","0","0","0","0"
"L43957","tagexpression","org.junit.platform.launcher.tagexpression","L40727","L103","0.0195217","1","2","2","0","0","0","0","1","0.235504","264","7","0","1","0.235504","264","7","0","857","1384","31","24","1","0","4","139","2","0","38","0","857","1384","31","24","22","1","20","0","4","139","250","2","0","0","2","0","38","0","0","0","401","10","77","1","27","49","4","0","0","6","0","1","0","0"
"L45065","legacy","org.junit.platform.reporting.legacy","L45055","L103","0.10257","5","13","13","0","0","0","0","1","0.381679","50","2","0","0.3","0.149933","224","3","7","81","158","1","3","0","4","0","8","0","1","2","0","1270","1782","31","16","24","2","12","20","0","119","575","5","2","0","0","1","19","0","0","0","357","58","52","5","32","22","33","0","0","23","0","0","0","0"
"L46244","api","org.junit.platform.suite.api","L46243","L103","0","0","0","0","0","0","0","0","1","0.625698","672","23","0","1","0.625698","672","23","0","402","1247","0","0","0","0","0","25","0","0","0","0","402","1247","0","0","13","0","24","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L46370","commons","org.junit.platform.suite.commons","L46243","L103","0.306408","10","26","22","0.547009","0.657895","64","50","0.0833333","0.0948276","66","1","11","0.0833333","0.0948276","66","1","11","630","817","8","36","0","3","0","59","0","0","18","0","630","817","8","36","22","0","4","3","0","59","178","0","1","0","0","0","18","0","0","0","447","4","57","3","46","9","0","0","0","5","0","1","0","0"
"L46719","engine","org.junit.platform.suite.engine","L46243","L103","0.0711841","3","11","7","0","0","0","0","0.5","0.23463","187","3","3","0.823529","0.308951","321","14","3","610","943","21","13","0","7","0","54","0","2","14","0","718","1237","21","26","24","0","22","7","0","58","116","0","12","0","0","2","14","0","0","0","216","20","33","3","27","19","3","0","3","1","0","0","0","0"
"L47105","engine","org.junit.platform.testkit.engine","L47095","L103","0.0463334","4","10","7","0.269663","0.37931","24","22","0.979866","0.50062","1614","146","3","0.979866","0.50062","1614","146","3","1610","3592","35","22","1","16","1","232","5","0","137","1","1610","3592","35","22","22","1","18","16","1","232","450","5","12","1","0","0","137","1","0","0","282","33","70","42","54","27","6","0","6","10","0","0","0","0"
"L48102","descriptor","org.junit.vintage.engine.descriptor","L48076","L103","0","0","0","0","0","0","0","0","0.166667","0.221408","151","4","20","0.166667","0.221408","151","4","20","531","833","19","13","0","11","1","56","4","0","23","0","531","833","19","13","20","0","13","11","1","56","160","4","5","0","1","0","23","0","0","1","158","4","21","0","16","6","2","0","0","2","0","0","0","0"
"L48387","discovery","org.junit.vintage.engine.discovery","L48076","L103","0","0","0","0","0","0","0","0","0.75","0.259649","222","3","1","0.75","0.259649","222","3","1","633","1031","18","24","0","2","0","66","0","0","21","0","633","1031","18","24","20","0","14","2","0","66","170","0","7","0","0","0","21","0","0","0","193","6","21","0","12","8","2","0","2","3","0","0","0","0"
"L48808","execution","org.junit.vintage.engine.execution","L48076","L103","0","0","0","0","0","0","0","0","0.333333","0.165154","91","1","2","0.333333","0.165154","91","1","2","460","648","20","5","1","5","0","61","2","0","11","0","460","648","20","5","20","1","6","5","0","61","161","2","1","0","0","0","11","0","0","1","144","6","23","0","3","23","2","0","0","2","0","0","0","0"
"L49169","support","org.junit.vintage.engine.support","L48076","L103","0","0","0","0","0","0","0","0","0.4","0.257919","57","2","3","0.4","0.257919","57","2","3","164","287","6","6","0","1","0","17","0","0","4","0","164","287","6","6","20","0","5","1","0","17","47","0","2","0","0","0","4","0","0","0","51","2","16","0","13","3","2","0","0","0","0","0","0","0"
"L49841","samples","org.junit.vintage.engine.samples","L48076","L103","0","0","0","0","0","0","0","0","0.5","0.722222","13","1","1","0.325758","0.435795","655","43","89","5","23","0","1","0","0","0","1","0","2","1","0","848","1881","12","60","15","0","57","8","5","87","122","5","58","0","5","2","74","0","0","0","320","16","23","0","20","7","1","0","6","5","0","0","0","0"
"L8223","support","org.junit.jupiter.api.extension.support","L7722","L103","0","0","0","0","0","0","0","0","0.25","0.161616","32","1","3","0.25","0.161616","32","1","3","166","248","4","7","0","1","0","20","0","0","6","0","166","248","4","7","24","0","3","1","0","20","43","0","1","0","0","0","6","0","0","0","65","1","20","0","12","5","0","0","4","0","0","0","0","0"
"L13742","subpackage","org.junit.jupiter.engine.descriptor.subpackage","L11600","L103","0","0","0","0","0","0","0","0","0.8","0.6","48","4","1","0.8","0.6","48","4","1","32","104","0","6","0","0","0","4","0","0","0","0","32","104","0","6","14","0","4","0","0","4","0","0","5","0","0","0","0","0","0","0","15","2","4","0","2","0","0","0","4","0","0","0","0","0"
"L14701","predicates","org.junit.jupiter.engine.discovery.predicates","L13925","L103","0.0189901","1","5","1","0","0","0","0","0.5","0.287342","227","7","7","0.5","0.287342","227","7","7","563","1043","16","47","0","0","0","83","1","0","11","0","563","1043","16","47","22","0","16","0","0","83","92","1","7","0","0","0","11","0","0","0","302","18","47","0","40","1","2","0","19","3","0","0","0","0"
"L16512","injection","org.junit.jupiter.engine.execution.injection","L15387","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.375","0.498667","187","12","20","0","0","0","0","0","0","0","0","0","1","0","0","188","462","1","11","15","0","12","0","0","20","36","0","11","0","0","1","20","0","0","0","62","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L20141","sub","org.junit.jupiter.engine.extension.sub","L16706","L103","0","0","0","0","0","0","0","0","0.5","0.537736","57","3","3","0.5","0.537736","57","3","3","49","129","0","3","0","0","0","4","0","0","2","0","49","129","0","3","14","0","3","0","0","4","10","0","3","0","0","0","2","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L24181","adapter","org.junit.jupiter.migrationsupport.rules.adapter","L24157","L103","0","0","0","0","0","0","0","0","0.294118","0.391304","63","5","12","0.294118","0.391304","63","5","12","98","209","1","4","0","0","1","14","0","0","12","0","98","209","1","4","14","0","6","0","1","14","14","0","4","0","1","0","12","0","0","0","42","0","3","0","0","0","0","0","3","0","0","0","0","0"
"L24298","member","org.junit.jupiter.migrationsupport.rules.member","L24157","L103","0","0","0","0","0","0","0","0","0.5","0.485714","51","3","3","0.5","0.485714","51","3","3","54","139","1","3","0","2","1","6","0","0","4","0","54","139","1","3","14","0","5","2","1","6","7","0","2","0","1","0","4","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L30535","classes","org.junit.platform.commons.util.classes","L28401","L103","0","0","0","0","0","0","0","0","0.75","0.679245","72","6","2","0.75","0.679245","72","6","2","34","134","0","6","0","0","0","2","0","0","2","0","34","134","0","6","14","0","6","0","0","2","2","0","6","0","0","0","2","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L36820","config","org.junit.platform.engine.support.config","L36819","L103","0","0","0","0","0","0","0","0","0.333333","0.315789","42","2","4","0.333333","0.315789","42","2","4","91","170","3","2","0","1","0","11","0","0","5","0","91","170","3","2","24","0","3","1","0","11","28","0","1","0","0","0","5","0","0","0","26","2","1","0","1","1","0","0","0","1","0","0","0","0"
"L36868","descriptor","org.junit.platform.engine.support.descriptor","L36819","L103","0.10173","13","63","21","0","0","0","0","0.566038","0.328803","871","60","46","0.566038","0.328803","871","60","46","1778","3166","44","26","0","46","2","236","2","0","98","3","1778","3166","44","26","24","0","27","46","2","236","612","2","12","0","2","0","98","3","0","0","627","39","131","11","78","40","33","0","5","14","0","0","0","0"
"L37637","discovery","org.junit.platform.engine.support.discovery","L36819","L103","0.0535141","2","22","4","0","0","0","0","1","0.55632","647","47","0","1","0.55632","647","47","0","516","1284","27","8","1","10","3","68","2","0","49","0","516","1284","27","8","14","1","5","10","3","68","123","2","4","0","3","0","49","0","0","0","101","4","1","2","0","3","0","0","0","2","0","0","0","0"
