"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Design Pattern","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Security Rules"
"L26705","INCLUDE","org.junit.jupiter.params.provider.EnumSource$Mode.INCLUDE;Lorg/junit/jupiter/params/provider/EnumSource$Mode;","L26660","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\main\java\org\junit\jupiter\params\provider\EnumSource.java","102","3","102","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1407","EXCLUDE","org.junit.jupiter.params.provider.EnumSource$Mode.EXCLUDE;Lorg/junit/jupiter/params/provider/EnumSource$Mode;","L26660","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\main\java\org\junit\jupiter\params\provider\EnumSource.java","108","3","108","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1417","MATCH_ALL","org.junit.jupiter.params.provider.EnumSource$Mode.MATCH_ALL;Lorg/junit/jupiter/params/provider/EnumSource$Mode;","L26660","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\main\java\org\junit\jupiter\params\provider\EnumSource.java","116","3","116","99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L26729","MATCH_ANY","org.junit.jupiter.params.provider.EnumSource$Mode.MATCH_ANY;Lorg/junit/jupiter/params/provider/EnumSource$Mode;","L26660","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\main\java\org\junit\jupiter\params\provider\EnumSource.java","124","3","124","99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L26734","validator","org.junit.jupiter.params.provider.EnumSource$Mode.validator;Lorg/junit/jupiter/params/provider/EnumSource$Mode$Validator;","L26660","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\main\java\org\junit\jupiter\params\provider\EnumSource.java","126","3","126","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L26738","selector","org.junit.jupiter.params.provider.EnumSource$Mode.selector;Ljava/util/function/BiPredicate;","L26660","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\main\java\org\junit\jupiter\params\provider\EnumSource.java","127","3","127","59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L27121","FOO","org.junit.jupiter.params.provider.EnumArgumentsProviderTests$EnumWithTwoConstants.FOO;Lorg/junit/jupiter/params/provider/EnumArgumentsProviderTests$EnumWithTwoConstants;","L27118","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\provider\EnumArgumentsProviderTests.java","120","3","120","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L27123","BAR","org.junit.jupiter.params.provider.EnumArgumentsProviderTests$EnumWithTwoConstants.BAR;Lorg/junit/jupiter/params/provider/EnumArgumentsProviderTests$EnumWithTwoConstants;","L27118","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\provider\EnumArgumentsProviderTests.java","120","8","120","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L27185","FOO","org.junit.jupiter.params.provider.EnumSourceTests$EnumWithThreeConstants.FOO;Lorg/junit/jupiter/params/provider/EnumSourceTests$EnumWithThreeConstants;","L27189","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\provider\EnumSourceTests.java","95","3","95","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L27193","BAR","org.junit.jupiter.params.provider.EnumSourceTests$EnumWithThreeConstants.BAR;Lorg/junit/jupiter/params/provider/EnumSourceTests$EnumWithThreeConstants;","L27189","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\provider\EnumSourceTests.java","95","8","95","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L27196","BAZ","org.junit.jupiter.params.provider.EnumSourceTests$EnumWithThreeConstants.BAZ;Lorg/junit/jupiter/params/provider/EnumSourceTests$EnumWithThreeConstants;","L27189","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\provider\EnumSourceTests.java","95","13","95","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L27288","TEST_METHOD","org.junit.jupiter.params.provider.MethodArgumentsProviderTests$DefaultFactoryMethodNameTestCase.TEST_METHOD;Ljava/lang/String;","L27285","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\provider\MethodArgumentsProviderTests.java","385","3","385","68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L27463","lines","org.junit.jupiter.params.provider.MockCsvAnnotationBuilder$MockCsvSourceBuilder.lines;[Ljava/lang/String;","L26922","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\provider\MockCsvAnnotationBuilder.java","85","3","85","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L27464","textBlock","org.junit.jupiter.params.provider.MockCsvAnnotationBuilder$MockCsvSourceBuilder.textBlock;Ljava/lang/String;","L26922","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\provider\MockCsvAnnotationBuilder.java","86","3","86","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L27475","resources","org.junit.jupiter.params.provider.MockCsvAnnotationBuilder$MockCsvFileSourceBuilder.resources;[Ljava/lang/String;","L27424","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\provider\MockCsvAnnotationBuilder.java","126","3","126","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L27476","files","org.junit.jupiter.params.provider.MockCsvAnnotationBuilder$MockCsvFileSourceBuilder.files;[Ljava/lang/String;","L27424","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\provider\MockCsvAnnotationBuilder.java","127","3","127","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L27477","encoding","org.junit.jupiter.params.provider.MockCsvAnnotationBuilder$MockCsvFileSourceBuilder.encoding;Ljava/lang/String;","L27424","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\provider\MockCsvAnnotationBuilder.java","128","3","128","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L27478","lineSeparator","org.junit.jupiter.params.provider.MockCsvAnnotationBuilder$MockCsvFileSourceBuilder.lineSeparator;Ljava/lang/String;","L27424","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\provider\MockCsvAnnotationBuilder.java","129","3","129","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L27479","numLinesToSkip","org.junit.jupiter.params.provider.MockCsvAnnotationBuilder$MockCsvFileSourceBuilder.numLinesToSkip;I","L27424","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\provider\MockCsvAnnotationBuilder.java","130","3","130","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L27671","store","org.junit.jupiter.params.ParameterizedTestExtensionTests$1.store;Lorg/junit/jupiter/engine/execution/ExtensionValuesStore;","L27670","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-params\src\test\java\org\junit\jupiter\params\ParameterizedTestExtensionTests.java","190","4","190","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10870","anElement","org.junit.jupiter.api.DisplayNameGenerationTests$StackTestCase$A_new_stack$After_pushing_an_element_to_an_empty_stack.anElement;Ljava/lang/String;","L10868","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\DisplayNameGenerationTests.java","327","5","327","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10888","anElement","org.junit.jupiter.api.DisplayNameGenerationTests$IndicativeGeneratorTestCase$when_new$after_pushing_an_element_to_an_empty_stack.anElement;Ljava/lang/String;","L10886","L103","D:\GitRepos\2022SourceMeter-CasadoCristianDavid\junit5-r5.8.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\DisplayNameGenerationTests.java","383","5","383","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
